specification,outcome,outcome_label,exposure,n,clusters,coefficient,standard_error_crv3,t_value,df,p_value_t_g_minus_1,ci_low,ci_high,outcome_mean,exposure_mean,wild_bootstrap_type,wild_weights,wild_reps,wild_p_value,excluded_country
Exclude AUS,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.003633537943054082,0.0006760148953891544,-5.374937694179654,17,5.039736704624383e-05,-0.005059804700193479,-0.002207271185914685,0.7339181286549707,15.39311136817251,,,,,AUS
Exclude BRA,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0037315823602001403,0.0006522255714168351,-5.721306437118056,17,2.4960344533045168e-05,-0.005107658031036614,-0.0023555066893636662,0.7368421052631579,15.915132916419116,,,,,BRA
Exclude CAN,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.003500373000808203,0.0006309022073123912,-5.548202178146752,17,3.539558012122263e-05,-0.00483146030588531,-0.002169285695731096,0.7456140350877193,14.89656187451287,,,,,CAN
Exclude CHN,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.003666646275955646,0.0006532865427197464,-5.6126156536008756,17,3.106769101399203e-05,-0.005044960400574637,-0.002288332151336655,0.7222222222222222,15.292356658185149,,,,,CHN
Exclude DEU,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0038549709217616077,0.0007325706394074776,-5.262251466806818,17,6.354103711388928e-05,-0.005400559868646817,-0.002309381974876399,0.7222222222222222,13.547516398114523,,,,,DEU
Exclude FRA,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0033521087873409623,0.0006093235240718426,-5.501361189767113,17,3.89294404636951e-05,-0.004637669050368029,-0.0020665485243138958,0.7426900584795322,13.062868780461828,,,,,FRA
Exclude GBR,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0037498294694139366,0.0008736023955155593,-4.2923754429507515,17,0.0004930012750172686,-0.005592969412305165,-0.001906689526522708,0.7251461988304093,14.63896637890502,,,,,GBR
Exclude IDN,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0036696487196230055,0.0006611763346206685,-5.550181589194907,17,3.525373590757379e-05,-0.005064608850100425,-0.002274688589145586,0.7368421052631579,15.57648964814223,,,,,IDN
Exclude IND,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0035959380656667345,0.0006587584682446876,-5.458659340271385,17,4.246758247656952e-05,-0.00498579694399899,-0.002206079187334479,0.7309941520467836,15.880879052332602,,,,,IND
Exclude ITA,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0036798598553423804,0.000704738655498596,-5.221595021971533,17,6.910748423533143e-05,-0.005166728449014625,-0.002192991261670136,0.7368421052631579,14.622502611948281,,,,,ITA
Exclude JPN,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0036736637513177513,0.0006602794060235033,-5.563801805423845,17,3.429345943740339e-05,-0.005066731527868667,-0.0022805959747668352,0.7339181286549707,15.357585606025355,,,,,JPN
Exclude KOR,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0038465493437109142,0.0006546881497805014,-5.875391734218122,17,1.8349322338550674e-05,-0.0052278206007406874,-0.002465278086681141,0.7251461988304093,14.791393532566616,,,,,KOR
Exclude MEX,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.003805883242948425,0.000643662851108647,-5.912852103229445,17,1.7034731789210178e-05,-0.005163893153090055,-0.0024478733328067957,0.7397660818713451,15.630878760135392,,,,,MEX
Exclude RUS,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.003674935053894836,0.0006646335858436152,-5.529264744017207,17,3.678272133456123e-05,-0.0050771893468589116,-0.0022726807609307603,0.7368421052631579,16.07506246402649,,,,,RUS
Exclude SAU,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.00343412593084465,0.0006028209170380851,-5.6967597403852,17,2.6221737466573792e-05,-0.0047059668922553675,-0.0021622849694339333,0.7397660818713451,16.05236750974825,,,,,SAU
Exclude TUR,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0038911145366920313,0.0006202047544539199,-6.273919231912522,17,8.400384747744068e-06,-0.005199632189085198,-0.0025825968842988645,0.7397660818713451,15.951762923853021,,,,,TUR
Exclude USA,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0036974074076317667,0.0006613776488826585,-5.590463200379122,17,3.249096533813793e-05,-0.005092792274075173,-0.0023020225411883605,0.7251461988304093,15.779954527940031,,,,,USA
Exclude ZAF,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0035836183163318854,0.0006577345067169367,-5.448426804029813,17,4.336355800290005e-05,-0.00497131682468179,-0.002195919807981981,0.7309941520467836,15.936871378374269,,,,,ZAF
Exclude ARG,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0014592354828665494,0.000878088942407037,-1.661831065616725,16,0.11601081574929191,-0.003320700885062814,0.0004022299193297155,0.4953560371517028,16.82856516683758,,,,,ARG
Exclude AUS,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0012361752260817238,0.0008353874753852879,-1.4797626999514077,16,0.15835667763274422,-0.0030071175620540614,0.0005347671098906135,0.48606811145510836,16.214300418565532,,,,,AUS
Exclude BRA,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0013826804953772957,0.0008667641388947336,-1.5952211603267759,16,0.13022285954148344,-0.003220138386595189,0.00045477739584059767,0.5046439628482973,16.767029116708997,,,,,BRA
Exclude CAN,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0013488265185176201,0.0008245368828960775,-1.6358595309648782,16,0.12138551383540624,-0.0030967666259723897,0.00039911358893714947,0.4891640866873065,15.688542131161206,,,,,CAN
Exclude CHN,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0013740174230997616,0.0008295605628513854,-1.6563196041732697,16,0.11713396390695098,-0.00313260725631338,0.00038457241011385706,0.5294117647058824,16.107618960931855,,,,,CHN
Exclude DEU,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0013645029847183213,0.001074724034641429,-1.2696310315359924,16,0.22237243525691874,-0.003642816160955134,0.0009138101915184913,0.4953560371517028,14.260141038504134,,,,,DEU
Exclude FRA,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0012589402257886472,0.0010625782891151864,-1.184797617911968,16,0.25339838909674606,-0.0035115055717213853,0.0009936251201440908,0.4953560371517028,13.746984737460105,,,,,FRA
Exclude GBR,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0010645575826979416,0.0010830516779131525,-0.9829240879337856,16,0.340275537416993,-0.003360524574036505,0.0012314094086406217,0.4891640866873065,15.41579395934113,,,,,GBR
Exclude IDN,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0014244458425367599,0.0008428263660270244,-1.6900822042995822,16,0.11039822812427098,-0.003211157922200842,0.0003622662371273219,0.5294117647058824,16.408465656180528,,,,,IDN
Exclude IND,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0013951740822332078,0.000842322767152738,-1.656341412863914,16,0.11712950127756694,-0.003180818579975008,0.00039047041550859234,0.5263157894736842,16.730760319440925,,,,,IND
Exclude ITA,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0011720607612712582,0.0009178761176360799,-1.2769269607861806,16,0.21984924539457795,-0.0031178712070766158,0.0007737496845340991,0.4891640866873065,15.398361735504583,,,,,ITA
Exclude JPN,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0013951374043442094,0.0008719327662338786,-1.600051584676876,16,0.12914452088977757,-0.003243552296048056,0.0004532774873596372,0.5015479876160991,16.176684905703837,,,,,JPN
Exclude KOR,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.001793232829691547,0.0006121871354604684,-2.929223313950778,16,0.009826088881148706,-0.003091011582269274,-0.0004954540771138201,0.5108359133126935,15.577187416159289,,,,,KOR
Exclude MEX,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0014831001293622783,0.0008087738202126866,-1.8337637696683373,16,0.0853576801085045,-0.0031976240367025707,0.00023142377797801417,0.5015479876160991,16.466054127702698,,,,,MEX
Exclude RUS,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0018399702292083357,0.0006106330832979737,-3.013217396068395,16,0.008248830002288503,-0.003134454538371524,-0.0005454859200451473,0.5108359133126935,16.936366284763864,,,,,RUS
Exclude SAU,coal_contraction,Coal contraction,issuance_bp_gdp,342,18,-0.001400700223898268,0.0008160284235980116,-1.7164846019974849,17,0.10423722675584056,-0.0031223697039601166,0.0003209692561635805,0.5029239766081871,16.05236750974825,,,,,SAU
Exclude TUR,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0014512157578740153,0.0008156074812263348,-1.779306579792512,16,0.09419003043759559,-0.0031802263794102224,0.0002777948636621917,0.5139318885448917,16.80581383046254,,,,,TUR
Exclude USA,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0013816310578249206,0.0008735410296432281,-1.5816441482882684,16,0.1332948345056795,-0.003233455315652791,0.0004701932000029498,0.4891640866873065,16.623899058319374,,,,,USA
Exclude ZAF,coal_contraction,Coal contraction,issuance_bp_gdp,323,17,-0.0012758039596845047,0.0008339876254182903,-1.5297636569183137,16,0.14560446333110727,-0.0030437787462936888,0.0004921708269246797,0.4953560371517028,16.790046311720335,,,,,ZAF
Exclude ARG,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0007203799586114609,0.0007970713431914491,-0.9037835380294589,16,0.379516881335629,-0.002410095722900417,0.0009693358056774953,0.21981424148606812,16.82856516683758,,,,,ARG
Exclude AUS,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,323,17,-0.0007507391962686986,0.0007283732162791992,-1.0307067578675573,16,0.3180081279625119,-0.002294821437269802,0.0007933430447324048,0.21981424148606812,16.214300418565532,,,,,AUS
